City Name,Zone Name,Ward Name,Ward No.,Total no. of Households,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Dodda Bommasandra,77,8325,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Kuvempu Nagar,78,6595,,,,,,,,,,,,,,,
Bengaluru,Dasarahalli,Shettihalli,79,9052,,,,,,,,,,,,,,,
Bengaluru,Dasarahalli,Mallasandra,80,8877,,,,,,,,,,,,,,,
Bengaluru,Dasarahalli,Bagalakunte,81,15419,,,,,,,,,,,,,,,
Bengaluru,Dasarahalli,T Dasarahalli,82,13453,,,,,,,,,,,,,,,
Bengaluru,Rajarajeswari Nagar,Jalahalli,83,11423,,,,,,,,,,,,,,,
Bengaluru,Rajarajeswari Nagar,J P Park,84,13419,,,,,,,,,,,,,,,
Bengaluru,East,Radhakrishna Temple Ward,85,17755,,,,,,,,,,,,,,,
Bengaluru,East,SanJayanagar,86,11051,,,,,,,,,,,,,,,
Bengaluru,East,Ganga Nagar,87,10044,,,,,,,,,,,,,,,
Bengaluru,East,Hebbala,88,9741,,,,,,,,,,,,,,,
Bengaluru,East,Vishwanath Nagenahalli,89,8806,,,,,,,,,,,,,,,
Bengaluru,East,Nagavara,90,7771,,,,,,,,,,,,,,,
Bengaluru,East,HBR Layout,91,7074,,,,,,,,,,,,,,,
Bengaluru,Mahadevapura,Horamavu,92,7276,,,,,,,,,,,,,,,
Bengaluru,Mahadevapura,Ramamurthy Nagar,93,5304,,,,,,,,,,,,,,,
Bengaluru,East,Banasavadi,94,6599,,,,,,,,,,,,,,,
Bengaluru,East,Kammanahalli,95,8711,,,,,,,,,,,,,,,
Bengaluru,East,Kacharkanahalli,96,8693,,,,,,,,,,,,,,,
Bengaluru,East,Kadugondanahalli,97,8253,,,,,,,,,,,,,,,
Bengaluru,East,Kushal Nagar,98,8276,,,,,,,,,,,,,,,
Bengaluru,East,Kaval Bairasandra,99,8398,,,,,,,,,,,,,,,
Bengaluru,East,Manorayana Palya,100,7495,,,,,,,,,,,,,,,
Bengaluru,East,Gangenahalli,101,7482,,,,,,,,,,,,,,,
Bengaluru,West,Aramane Nagara,102,13443,,,,,,,,,,,,,,,
Bengaluru,West,Mattikere,103,14168,,,,,,,,,,,,,,,
Bengaluru,Rajarajeswari Nagar,Yeshwanthpura,104,6678,,,,,,,,,,,,,,,
Bengaluru,Rajarajeswari Nagar,HMT Ward,105,7192,,,,,,,,,,,,,,,
Bengaluru,Dasarahalli,Chokkasandra,106,6077,,,,,,,,,,,,,,,
Bengaluru,Rajarajeswari Nagar,Dodda Bidarakallu,107,9260,,,,,,,,,,,,,,,
Bengaluru,Dasarahalli,Peenya Industrial Area,108,8156,,,,,,,,,,,,,,,
Bengaluru,Rajarajeswari Nagar,Lakshmi Devi Nagar,109,6842,,,,,,,,,,,,,,,
Bengaluru,West,Nandini Layout,110,6423,,,,,,,,,,,,,,,
Bengaluru,West,Marappana Palya,111,5493,,,,,,,,,,,,,,,
Bengaluru,West,Malleshwaram,112,7844,,,,,,,,,,,,,,,
Bengaluru,East,Jayachamarajendra Nagar,113,10725,,,,,,,,,,,,,,,
Bengaluru,East,Devara Jeevanahalli,114,7734,,,,,,,,,,,,,,,
Bengaluru,East,Muneshwara Nagar,115,8466,,,,,,,,,,,,,,,
Bengaluru,East,Lingarajapura,116,10743,,,,,,,,,,,,,,,
Bengaluru,East,Benniganahalli,117,9465,,,,,,,,,,,,,,,
Bengaluru,Mahadevapura,Vijnanapura,118,5953,,,,,,,,,,,,,,,
Bengaluru,Mahadevapura,KR Puram,119,5485,,,,,,,,,,,,,,,
Bengaluru,Mahadevapura,Basavanapura,120,8652,,,,,,,,,,,,,,,
Bengaluru,Mahadevapura,Hudi,121,9061,,,,,,,,,,,,,,,
Bengaluru,Mahadevapura,Devasandra,122,10051,,,,,,,,,,,,,,,
Bengaluru,Mahadevapura,A Narayanapura,123,9943,,,,,,,,,,,,,,,
Bengaluru,East,C.V. Raman Nagar,124,9068,,,,,,,,,,,,,,,
Bengaluru,East,New Tippa Sandra,125,5423,,,,,,,,,,,,,,,
Bengaluru,East,Maruthi Seva Nagar,126,7716,,,,,,,,,,,,,,,
Bengaluru,East,Sagayara Puram,127,11125,,,,,,,,,,,,,,,
Bengaluru,East,SK Garden,128,8255,,,,,,,,,,,,,,,
Bengaluru,East,Ramaswamy Palya,129,17410,,,,,,,,,,,,,,,
Bengaluru,East,Jaya Mahal,130,14511,,,,,,,,,,,,,,,
