cityName,NAME3,wardName,wardNo,numUnemployed,numEmployed,workForce,workingAgePop
wuhan,HuangBeiQu,YaoJiaJiJieDao,78,457,17148,17606,28816
wuhan,HuangBeiQu,MuLanXiang,79,408,15302,15711,25714
wuhan,XinZhouQu,XuGuZhen,80,417,15631,16049,26268
wuhan,JiangAnQu,QiuChangJieBanShiChu,81,370,13889,14260,23340
wuhan,HongShanQu,DongHuKaiFaQuJiuFengXiang,82,177,6668,6846,11206
wuhan,HanNanQu,ShaMaoJieDaoBanShiChu,83,994,37254,38249,62602
wuhan,JiangAnQu,ChenJiaJiJieBanShiChu,84,229,8611,8841,14471
wuhan,DongXiHuQu,XinAnDuBanShiChu,85,172,6455,6628,10849
wuhan,HongShanQu,QingLingXiang,86,1135,42553,43689,71505
wuhan,XinZhouQu,XinZhouYuanZhongChang,87,6,260,267,438
wuhan,CaiDianQu,CaiDianJingJiKaiFaQuYaoJiaShanBanShiChu,88,127,4758,4886,7997
wuhan,HongShanQu,WuHanHuaGongQuQingTanHuBanShiChu,89,91,3427,3519,5760
wuhan,JiangXiaQu,DongHuKaiFaQuFoZuLingBanShiChu,90,1299,48699,49999,81833
wuhan,JiangHanQu,TangJiaDunJieBanShiChu,91,1528,57277,58806,96246
wuhan,DongXiHuQu,BaiQuanBanShiChu,92,128,4810,4939,8084
wuhan,CaiDianQu,DunKouJieBanShiChu,93,2513,94146,96660,158200
wuhan,XinZhouQu,SanDianJieDaoBanShiChu,94,911,34133,35045,57357
wuhan,HongShanQu,GuanShanJieDao,95,4464,167236,171701,281017
wuhan,XinZhouQu,YangLuoJieDaoBanShiChu,96,2097,78558,80656,132008
wuhan,QiaoKouQu,BaoFengJieDaoBanShiChu,97,807,30241,31049,50818
wuhan,HanNanQu,XiangKouJieDaoBanShiChu,98,216,8098,8315,13609
wuhan,QingShanQu,WuDongJieDaoBanShiChu,99,359,13459,13819,22618
wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuCangLongDaoBanShiChu,100,1344,50368,51713,84638
wuhan,HuangBeiQu,CaiDianXiang,101,445,16686,17132,28040
wuhan,JiangAnQu,YiYuanJieBanShiChu,102,352,13196,13549,22176
wuhan,WuChangQu,XuJiaPengJieBanShiChu,103,1771,66378,68150,111539
wuhan,QiaoKouQu,HanShuiQiaoJieDaoBanShiChu,104,1022,38308,39331,64373
wuhan,HongShanQu,ShiZiShanJieDao,105,1410,52845,54256,88799
wuhan,XinZhouQu,WangJiJieDaoBanShiChu,106,893,33475,34369,56252
wuhan,HanYangQu,SiXinDiQuGuanWeiHui,107,35,1312,1348,2207
wuhan,CaiDianQu,HongBeiGuanWeiHui,108,49,1858,1908,3123
wuhan,CaiDianQu,CaiDianJingJiKaiFaQuDunKouBanShiChu,109,181,6807,6989,11440
wuhan,HuangBeiQu,SanLiZhen,110,213,8010,8224,13461
wuhan,XinZhouQu,LongWangJuNongChang,111,45,1692,1738,2846
wuhan,DongXiHuQu,WuJiaShanJieDaoBanShiChu,112,1571,58868,60440,98921
wuhan,QiaoKouQu,HanZhongJieDaoBanShiChu,113,421,15794,16216,26541
wuhan,XinZhouQu,PanTangJieDaoBanShiChu,114,390,14625,15016,24577
wuhan,JiangXiaQu,ShanPoXiang,115,401,15057,15459,25302
wuhan,JiangAnQu,DaZhiJieBanShiChu,116,497,18652,19150,31343
wuhan,HanYangQu,CuiWeiJieBanShiChu,117,634,23778,24413,39956
wuhan,QingShanQu,GangDouHuaYuanGuanWeiHui,118,568,21280,21849,35760
wuhan,HuangBeiQu,WuHuJieDao,119,484,18138,18623,30481
wuhan,HongShanQu,DongHuKaiFaQuHuaShanZhen,120,316,11849,12166,19913
wuhan,JiangHanQu,WanSongJieBanShiChu,121,1180,44210,45391,74291
wuhan,HuangBeiQu,LiuZhiJieDao,122,850,31843,32694,53510
wuhan,HuangBeiQu,SheKouJieDao,123,583,21867,22451,36746
wuhan,CaiDianQu,ZhangWanJieBanShiChu,124,396,14871,15268,24990
wuhan,WuChangQu,LuoJiaShanJieBanShiChu,125,1073,40231,41305,67603
wuhan,JiangAnQu,CheZhanJieBanShiChu,126,355,13326,13682,22393
wuhan,DongXiHuQu,ChangQingHuaYuanXinQuGuanLiWeiYuanHui,127,755,28314,29070,47578
wuhan,HanYangQu,YueHuJieBanShiChu,128,298,11168,11467,18768
wuhan,JiangHanQu,XinHuaJieBanShiChu,129,579,21703,22283,36470
wuhan,DongXiHuQu,XinGouZhenJieDaoBanShiChu,130,243,9125,9369,15335
wuhan,JiangXiaQu,ZhengDianJieBanShiChu,131,509,19093,19603,32085
wuhan,JiangAnQu,ShangHaiJieBanShiChu,132,360,13516,13877,22713
wuhan,JiangHanQu,MinZuJieBanShiChu,133,549,20580,21130,34584
wuhan,DongXiHuQu,TaiShangGongYeYuanQuGuanLiWeiYuanHui,134,61,2287,2349,3845
wuhan,QiaoKouQu,ChangFengJieDaoBanShiChu,135,2551,95586,98138,160619
wuhan,HuangBeiQu,LuoHanSiJieDao,136,677,25367,26045,42627
wuhan,HanNanQu,DongJingJieDaoBanShiChu,137,193,7251,7445,12186
wuhan,QingShanQu,ChangQianJieDaoBanShiChu,138,141,5308,5450,8920
wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuLiangZiHuFengJingQuBanShiChu,139,52,1950,2003,3279
wuhan,HongShanQu,DongHuFengJingQuJieDao(HongShan),140,755,28284,29040,47529
wuhan,JiangHanQu,ChangQingJieBanShiChu,141,1234,46234,47469,77692
wuhan,CaiDianQu,ZhaShanJieBanShiChu,142,636,23859,24496,40092
wuhan,HongShanQu,ZhangJiaWanJieDao,143,384,14390,14775,24183
wuhan,WuChangQu,JiYuQiaoJieBanShiChu,144,862,32313,33176,54298
wuhan,QingShanQu,BeiHuGuanWeiHui,145,88,3297,3386,5542
wuhan,HanYangQu,ZhouTouJieBanShiChu,146,554,20763,21318,34891
wuhan,JiangXiaQu,WuLongQuanJieBanShiChu,147,434,16290,16725,27374
wuhan,CaiDianQu,YuXianZhen,148,213,7994,8208,13435
wuhan,XinZhouQu,DaoGuanHeFengJingLvYouGuanLiChu,149,64,2405,2470,4043
wuhan,QiaoKouQu,YiJiaDunJieDaoBanShiChu,150,1234,46228,47463,77682
wuhan,WuChangQu,BaiShaZhouJieBanShiChu,151,1089,40831,41921,68611
wuhan,CaiDianQu,TongHuBanShiChu,152,32,1198,1231,2016
wuhan,QingShanQu,YeJinJieDaoBanShiChu,153,1122,42054,43177,70667
wuhan,JiangXiaQu,DongHuKaiFaQuDaWuChenBanShiChu,154,166,6230,6397,10471
wuhan,CaiDianQu,CaiDianJieBanShiChu,155,2022,75771,77794,127323
wuhan,HongShanQu,WuHanHuaGongQuJianSheXiang,156,423,15870,16294,26668
wuhan,CaiDianQu,DaJiJieBanShiChu,157,408,15312,15721,25731
wuhan,QiaoKouQu,ChongRenJieDaoBanShiChu,158,513,19229,19743,32314
wuhan,QiaoKouQu,ZongGuanJieDaoBanShiChu,159,920,34490,35411,57957
wuhan,HuangBeiQu,WangJiaHeJieDao,160,615,23039,23655,38716
wuhan,HanYangQu,WuLiDunJieBanShiChu,161,1244,46637,47882,78367
wuhan,WuChangQu,DongHuFengJingQuJieDao(WuChang),162,207,7790,7998,13091
wuhan,JiangHanQu,BeiHuJieBanShiChu,163,536,20106,20643,33787
wuhan,QiaoKouQu,HanJiaDunJieDaoBanShiChu,164,1343,50337,51681,84585
wuhan,JiangAnQu,XinCunJieBanShiChu,165,977,36626,37604,61546
wuhan,HuangBeiQu,ChangXuanLingJieDao,166,437,16380,16818,27526
wuhan,WuChangQu,HuangHeLouJieBanShiChu,167,871,32636,33508,54842
wuhan,HuangBeiQu,CaiJiaZhaJieDao,168,356,13363,13720,22455
wuhan,QingShanQu,HongWeiLuJieDaoBanShiChu,169,1171,43883,45055,73741
wuhan,JiangHanQu,MinQuanJieBanShiChu,170,517,19371,19889,32553
wuhan,DongXiHuQu,JingHeJieDaoBanShiChu,171,504,18895,19400,31752
wuhan,WuChangQu,YangYuanJieBanShiChu,172,1564,58627,60192,98515
wuhan,JiangXiaQu,JinShuiBanShiChu,173,74,2809,2884,4721
wuhan,JiangXiaQu,WuLiJieJieBanShiChu,174,355,13312,13668,22370
wuhan,QingShanQu,QingShanZhenJieDaoBanShiChu,175,295,11078,11374,18616
wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuMiaoShanBanShiChu,176,743,27862,28606,46819
wuhan,JiangAnQu,HuaQiaoJieBanShiChu,177,1861,69745,71607,117197
wuhan,WuChangQu,ShouYiLuJieBanShiChu,178,994,37262,38257,62615
wuhan,QingShanQu,HongGangChengJieDaoBanShiChu,179,540,20252,20793,34032
wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuDaQiaoXinQuBanShiChu,180,911,34141,35053,57371
wuhan,HuangBeiQu,HengDianJieDao,181,720,26991,27712,45356
wuhan,HuangBeiQu,DaTanBanShiChu,182,44,1676,1721,2817
wuhan,DongXiHuQu,JinYinHuJieDaoBanShiChu,183,804,30121,30926,50617
wuhan,XinZhouQu,CangBuJieDaoBanShiChu,184,906,33971,34878,57084
wuhan,HuangBeiQu,PanLongChengJingJiKaiFaQu,185,804,30156,30961,50673
wuhan,JiangAnQu,TaiBeiJieBanShiChu,186,546,20480,21027,34415
